Recommended Events
Event_Name, Location, Price
Immortal Technique,9:00pm @ El Rey Theatre,$25
Tropicália Music & Taco Festival,12:00pm @ Queen Mary Events Park,$75-$150
Latino Comics Expo,11:00am @ Museum of Latin American Art (MOLAA),$10  $7 seniors & students  free MOLAA members & children under 12 (free admission all day Sunday)
LIT! A Menorah & Candelabra Clay Workshop with Ben...,1:00pm @ Craft & Folk Art Museum,$100
Morrissey,7:30pm @ Hollywood Bowl,$37.50-$250
Diavolo/Architecture in Motion: 25 Year Anniversary,7:00pm @ Valley Performing Arts Center,$48-$85
Hollywood Forever Cemetery Walking Tour,10:00am @ Hollywood Forever Cemetery,$15
L.A. Opera's Nabucco,7:30pm @ Dorothy Chandler Pavilion,$25-$350
Hollywood in Havana: Five Decades of Cuban Posters...,12:00pm @ Pasadena Museum of California Art,$7  $5 students and seniors  children 12 and under free
Red Nation Film Festival,All Day @ Various Locations,Varies by screening
X: 40 Years of Punk in Los Angeles,10:00am @ Grammy Museum,$12.95  $11.95 seniors and students  $10.95 children
DUBLAB Record Fair,12:00pm @ Zebulon,Free
Transpacific Borderlands: The Art of Japanese Disapora...,11:00am @ Japanese American National Museum,$12  $6 seniors & students  5 and under free
Cuba Is,11:00am @ Annenberg Space for Photography,Free
Los Alamos Rolodex: Doing Business With the National Lab...,12:00pm @ Center for Land Use Interpretation,Free
Katherine Bernhardt: Fruit Salad,All Day @ Venus Over Los Angeles,Free
Tree of Testimony: L.A. Museum of the Holocaust,10:00am @ Los Angeles Museum of the Holocaust,Free
International Printing Museum,10:00am @ International Printing Museum,$10  $8 for students and seniors  includes the full guided tour
Hassan Hajjaj: My Rock Stars Experimental  Volume I,All Day @ LACMA,
Levitated Mass,All Day @ LACMA,
Becoming Los Angeles,All Day @ Natural History Museum of Los Angeles County,
Mission IMPROVable,10:00pm @ M.i. Westside Comedy Theater,
Henry Taylor at the Line Hotel,All Day @ The Line Hotel,Free
Patricia Fernandez's Point of Departure: Five Walks,12:00pm @ Commonwealth & Council,Free


Other Events
Event_Name, Location, Price
The Susie Glaze New Folk Ensemble,8:00pm @ Beckman Institute Auditorium,$20
Noah's Ark at the Skirball,All Day @ Skirball Cultural Center,TICKETS
Marty & Elayne,9:00pm @ The Dresden Restaurant,Free
Dance Yourself Clean,10:00pm @ Short Stop,Free
La Brea Tar Pits,9:30am @ Page Museum,
Reflecting Culture: The Francis E. Fowler Jr. Collection...,All Day @ Fowler Museum at UCLA,
Intersections: World Arts  Local Lives,All Day @ Fowler Museum at UCLA,
Salsa Night,9:30pm @ El Floridita Restaurant,$10
Western Frontiers: Stories of Fact and Fiction,All Day @ The Autry,
Visions and Values: Jewish Life From Antiquity to America,All Day @ Skirball Cultural Center,TICKETS
Four Centuries of Pueblo Pottery,All Day @ Southwest Museum  Mount Washington Campus,
Ice Age Encounters,All Day @ Page Museum,
The Kingston Trio  John Sebastian,8:00pm @ Cerritos Center for the Performing Arts,$40-$75
Seedless,4:00pm @ Festival Amphitheatre,TBA
Kids All American Cuisine,9:30am @ Saute Culinary Academy,$30
Holiday Pet Portraits at CB2 with Fetch Photography...,2:00pm @ CB2,TBA
SHPE OC Fundraiser Asada!,1:00pm @ 1526 W Dogwood Ave,$5-$20
Limmud After Dark in Los Angeles,7:00pm @ American Jewish University,$0-$30
ITELITE FPV Race of Champions,8:00am @ SoCal Multirotor Club,$20
Nightmare Air  The Big Pink  Pair of Arrows,7:00pm @ The Hi Hat,Free
The George Kahn Quartet  Pat Kelley,6:30pm  9:00pm @ Vibrato Grill & Jazz,$20
Will Hoge  Skin & Bones  Josh Arbour  Dan Layus,8:30pm @ The Mint,$18
Inland Opera,6:00pm @ Mission Gables Bowl House,$30
Black College Expo with SHAPE,2:00pm @ Long Beach Convention & Entertainment Center,TBA
"Rising Above" at LA Live (shorts program),12:45pm @ Regal Cinemas L.A. LIVE 14,TBA
Judy Wexler  The Josh Nelson Trio,8:00pm @ Alvas Showroom,$20
Tchami  Malaa,10:00pm @ Shrine Auditorium & Expo Hall,TICKETS
Hollywood's Enchanted Nights,7:00pm @ 5481 Santa Monica blvd,$15-$175
Like Zeppelin  High Risk  Jack & Seven  Slowkiss,9:30pm @ The Viper Room,$10
ANGELINE HOLMES DANCE PRESENTS: "WOVEN",8:00pm @ MiMoDa Studio entrance thru Paper or Plastik cafe,$20
Hamilton (Touring),8:00pm @ Pantages Theatre,$358-$650
$10 TACTICAL FITNESS CLASS,7:00am @ C.A.S. and Sons Protective Group,$10
The Dan Band,9:00pm @ The Roxy,$30
The Xth Annual Druid Underground Film Festival,8:00pm @ HM157,$10
Tom Pretty: Reprise,4:00pm @ Silverlake Lounge,$7
Fullerton College President's Gala,5:30pm @ Fullerton College,$0-$10000
Esc?ndalo,9:00pm @ Bootleg Theater,$6-$15
Movember - Fundraiser and Beer Release,2:00pm @ King Harbor Brewing Company,$14-$45
