Recommended_Event_Name, Location, Price
Morrissey,7:30pm @ Hollywood Bowl,$37.50-$250
Cole's 109th Anniversary,6:00pm  7:00pm  8:00pm  9:00pm @ Cole's,$74.84
The Seventh Seal,5:30pm @ Norton Simon Museum,Free with museum admission
Katy Perry,7:00pm @ Staples Center,$50.50-$200.50
Dia de los Muertos: A Cultural Legacy  Past  Present &...,12:00pm @ Self Help Graphics & Art,Free
X: 40 Years of Punk in Los Angeles,10:30am @ Grammy Museum,$12.95  $11.95 seniors and students  $10.95 children
Red Nation Film Festival,All Day @ Various Locations,Varies by screening
Hollywood in Havana: Five Decades of Cuban Posters...,12:00pm @ Pasadena Museum of California Art,$7  $5 students and seniors  children 12 and under free
Play!,10:00am @ The Autry,$14  $10 students and seniors  $6 children  free under 2
Transpacific Borderlands: The Art of Japanese Disapora...,11:00am @ Japanese American National Museum,$12  $6 seniors & students  5 and under free
Cuba Is,11:00am @ Annenberg Space for Photography,Free
Becoming Los Angeles,All Day @ Natural History Museum of Los Angeles County,
Katherine Bernhardt: Fruit Salad,All Day @ Venus Over Los Angeles,Free
Hassan Hajjaj: My Rock Stars Experimental  Volume I,All Day @ LACMA,
Levitated Mass,All Day @ LACMA,
Tree of Testimony: L.A. Museum of the Holocaust,10:00am @ Los Angeles Museum of the Holocaust,Free
Los Alamos Rolodex: Doing Business With the National Lab...,12:00pm @ Center for Land Use Interpretation,Free
Henry Taylor at the Line Hotel,All Day @ The Line Hotel,Free
The Los Bar,7:00pm @ The Mackey Apartments,Free
Mission IMPROVable,10:00pm @ M.i. Westside Comedy Theater,
Patricia Fernandez's Point of Departure: Five Walks,12:00pm @ Commonwealth & Council,Free
Other_Event_Name, Location, Price
Ying Yang Twins  Dem Ham Boyz  DJ Jeremy Burke  DJ Cam...,9:00pm @ The Echoplex,$25
Cold Waves,7:00pm @ The Regent Theater,$40-$50
Unnecessary Evil,8:00pm @ M.i. Westside Comedy Theater,
Salsa Night,8:00pm @ El Floridita Restaurant,$10
Ice Age Encounters,All Day @ Page Museum,
Marty & Elayne,9:00pm @ The Dresden Restaurant,Free
Western Frontiers: Stories of Fact and Fiction,All Day @ The Autry,
Completely Different Late Show,10:00pm @ The Groundlings Theater,
Opening Night: The Improvised Musical!,9:00pm @ iO West (Improv Olympic),
La Brea Tar Pits,9:30am @ Page Museum,
Club Underground,9:00pm @ Grand Star Jazz Club,$8
Noah's Ark at the Skirball,All Day @ Skirball Cultural Center,TICKETS
Reflecting Culture: The Francis E. Fowler Jr. Collection...,All Day @ Fowler Museum at UCLA,
Intersections: World Arts  Local Lives,All Day @ Fowler Museum at UCLA,
Visions and Values: Jewish Life From Antiquity to America,All Day @ Skirball Cultural Center,TICKETS
Buyepongo  Subsuelo,9:00pm @ Zebulon,$20
DJ Billy Badlove,8:00pm @ Amoeba Music,Free
Year of the Dragon  Deacon Strange  Negro Galacticus,8:30pm @ Cafe NELA,$8
Mando & Blue Gatos,8:00pm @ Au Lac,$10
Caught a Ghost  Magic Bronson  Oyls,8:00pm @ The Moroccan Lounge,$15
UCLA Bruins Women's Volleyball vs. University of Utah...,8:00pm @ John Wooden Center,$5-$8
Jamire Williams,9:00pm @ Blue Whale,$10
CSUN Womens Volleyball,4:00pm @ Cal State Northridge  CSUN,$8
November Orden Family FNL,7:00pm @ Sinai Temple,$25
Raya Yarbrough,8:00pm @ Grand Annex,$20-$140
Jason Lee Bruns,8:30pm @ Catalina Bar & Grill,TICKETS
Due Diligence a  Digital Empowerment event Hosted by...,9:00pm @ Near Downtown L.A,$25
Cole's 109th Anniversary,7:00pm @ Cole's,$70
Death Lens  Kicked Off the Streets  The Chonks  Whaja Dew,9:00pm @ The Smell,$5
Bruno Mars,8:00pm @ The Forum,$100-$300
Lawrence Rothman  Fatal Jamz ,8:30pm @ Bootleg Theater,$13
Hawktail,8:00pm @ McCabe's Guitar Shop,$25
Kurt Rosenwinkel,8:00pm @ Ann & Jerry Moss Theater  New Roads School,$35
Eleven Dollar Bills  Edges  He-Monster  Graves & the Bad...,9:00pm @ The Satellite,$12
Quick Dates For College-Educated & Professional Queer Women,7:00pm @ Aroma Sunset,$25-$30
Start in LA,1:00pm @ Fuller Theological Seminary,$9-$39
Lupe Fiasco,7:00pm @ The Belasco Theater,$35
Joe Russo's Almost Dead,9:00pm @ The Teragram Ballroom,$39.50
3rd Annual Inter-SSA Conference,6:00pm @ University of California  Los Angeles,$0-$50
Magic City Hippies  Goldensuns,9:00pm @ The Roxy,$15
Civic Arts Plaza presents CHAMPIONS OF MAGIC,7:30pm @ Fred Kavli Theatre  Thousand Oaks Civic Arts Plaza,$26-$51
Jason Moran,8:00pm @ The Theatre at Ace Hotel,$29.50-$59.50
Aries Spears,9:45pm @ Brea Improv,TBA
Hamilton (Touring),8:00pm @ Pantages Theatre,$249-$449
M.A.A.N. UP Cananbis Veterans Ball,7:00pm @ Casa Vertigo,$0-$750
MCM Anniversary & Campaign for Community-Driven...,6:00pm @ City Libre,$100-$125
Matt Westerman  B & the Hive  Black Shabbat  John Kutay ...,8:00pm @ The Mint,$12
Thee Commons  El-Haru Kuroi  Cutty Flam,8:30pm @ The Echo,$10
Paint,9:00pm @ The Love Song,Free
NCAA Women's Soccer,7:00pm @ Drake Stadium,$10
Single Professionals  20s & 30s - Los Angeles  CA,8:00pm @ Kung Pao Bistro,$30
Long Beach Veterans Day Pizza Party,8:15am @ Hope Community Church,$59
Guided Tasting Experience with Crooked Stave,6:00pm @ Beachwood Blendery,$60
Suicideboys,7:00pm @ House of Blues Anaheim,$25
Melissa Morgan,6:30pm  9:00pm @ Vibrato Grill & Jazz,$20
Audien  Kane Michael  Nick Ledesma,10:00pm @ Exchange L.A.,
03 Greedo,9:00pm @ The Novo by Microsoft,$5-$15
Friday Night Wine Tasting with Live Music & Oyster Bar:...,7:00pm @ Heritage Fine Wines,$15
Sleighbell 2017,6:30pm @ Raleigh Studios,$0-$125
Amber Rose  21 Savage,10:00pm @ OHM Nightclub,TBA
The Jonathan Foundation + Creamistry Pasadena ICE CREAM...,3:00pm @ Creamistry,TBA
Indigo Sesh,6:00pm @ 7039 W Sunset Blvd,$0-$50
James Intveld,9:00pm @ Joe's Great American Bar & Grill,TBA
Brighton Thomas,8:00pm @ Vitello's Italian Restaurant,$15
The Association's Cocktail Classes,7:00pm @ The Association,$20-$25
Munyungo Jackson,9:00pm @ The World Stage,$20
Pasadena Community Orchestra,8:00pm @ First Church of the Nazarene,Free
2017 Hollywood Entertainment Technology Festival (HETFest),9:00am @ W Hollywood,$55-$399
Francis Ford Coppola's GODFATHER PT. 1 (35mm!) at the Vista,11:59pm @ Vista Theatre,$11-$38
THE REAR WINDOW,7:00pm @ Pasadena Cross Campus Aerial Annex,$0-$30
The Crazy Squeeze  The Thingz  King Flamingo,8:00pm @ 4th Street Vine,
Knyght Ryder,9:00pm @ Gaslamp Restaurant & Bar,TBA
Dream Machines  Con Bro Chill  Disco Shrine,8:00pm @ The Troubadour,$15
Flavors of Indian Cuisine,7:00pm @ Saute Culinary Academy,$75
Fourth Annual GBCP Gala - Registration,7:00pm @ Embassy Suites by Hilton,$100-$175
Beauty and the Beast Jr. Tickets,7:00pm @ California Heights United Methodist Church,$10
FilAm Creations 2: Encore Screening & Awards Presentation,7:00pm @ Regency Valley Plaza 6,$10
Imaginary Friends,7:15pm @ Genghis Cohen,$10
The Coathangers,8:00pm @ Alex's Bar,Free with RSVP
Gregory West  Nico Franc  Sweet Talk Radio  Whitney Fenimore,7:00pm @ The Hotel Cafe,
The StartEngine ICO 2.0 Summit,8:00am @ Shutters on the Beach,$199-$500
Sony Alpha Days at Samy's Camera - LA,10:00am @ Samy's Camera,$10
Love Weapon,9:00pm @ Maui Sugar Mill Saloon,
Much Ado About Nothing,8:00pm @ The Collaborative,$0-$20
Tequila in Havana,6:00pm @ Hotel Maya,$60-$65
Stumpwaller  Joe Armstrong & the Millennial Falcons,9:00pm @ The Cinema Bar,Free
Baby Gramps,8:00pm @ The Coffee Gallery Backstage,$18
Will Hoge  Dan Layus,8:30pm @ Pappy & Harriet's Pioneertown Palace,$20
Vinai,10:00pm @ Create Nightclub,$15
Transformation Intercession Conference 2017 ( TIC-Azusa...,7:00pm @ Bonnie Brae House,TBA
Battle of the Sexes Screening with Q&A;,7:30pm @ Fox Studios Lot - Little Theater,TBA
Fitness Friday's w/Coach Kody,6:00pm @ Giggles N Hugs,TBA
